Unnamed,mean,std,var,min,max,skew,kurtosis,rms,zero_crossings,delta_power,theta_power,alpha_power,beta_power,gamma_power,wavelet_energy_level_0,wavelet_energy_level_1,wavelet_energy_level_2,wavelet_energy_level_3,wavelet_energy_level_4,approx_entropy,y
X21.V1.791,-16.910112359550563,95.71095771033781,9160.587425830074,-281.0,229.0,-0.20032654586407617,0.0674114846953695,97.19330905902267,23.0,2531.5042161426045,154.68137088488913,3184.617041745054,5194.059337402149,90.94586505828055,3690801.756229561,153526.3153532446,725808.7072425853,107028.15161808244,7569.491844455007,0.6748514975975453,0
X15.V1.924,28.1123595505618,471.83582267045676,222629.0435551067,-1716.0,513.0,-1.5110878278752116,1.3418877250274255,472.6725592993597,8.0,141647.64595554766,64889.280488218224,24660.94364915661,29545.67897610376,547.5759794848126,29828451.755212568,11645734.51330812,6569807.36392195,2279284.800774546,74217.98065119343,0.3213448939932997,1
X8.V1.1,-44.04494382022472,44.18638005426802,1952.4361823002148,-126.0,80.0,0.49448483481768096,-0.24041441455940404,62.38904758390664,12.0,288.399388640723,311.355507475253,300.5201812647663,486.18489953320585,13.772599255459541,595484.0390745938,94365.41721666053,142905.2132447785,18609.757275863976,1716.8995790688753,0.7576586192133243,0
X16.V1.60,-68.91011235955057,15.923722991811921,253.5649539199596,-105.0,-22.0,0.3671253463761809,0.21215987511975598,70.72601034503391,0.0,69.35638722703025,28.82776860066138,57.39459162130584,73.14614234788996,6.538426116837879,1686014.3905583436,18258.1012984393,14506.74116082233,2511.4530838349738,813.6889120326789,0.8804301611065135,0
X20.V1.54,-6.651685393258427,38.69300117406349,1497.1483398560786,-103.0,78.0,-0.4627409774560728,-0.2505155048287957,39.26058148355633,32.0,221.3917735049957,127.49632306834523,146.54919611408005,322.2433150915237,35.546278913262505,595041.7167830892,52989.87271579705,75281.44415792348,37733.12817011547,2503.11477708283,0.6927493172528418,0
X14.V1.56,14.48876404494382,48.94301189219107,2395.418413079157,-91.0,122.0,-0.10426114771214307,-0.595689478597087,51.04255770069926,15.0,490.17792644822714,82.41905894155092,718.0596003561004,341.90273569171825,7.749460558267083,402627.8489599582,77928.30938794011,102193.43488276604,12007.906389162832,954.6522885817681,0.6328577562635576,0
X3.V1.191,13.98876404494382,64.88329962619447,4209.842570382528,-137.0,141.0,-0.08722277943068361,-0.6524344811957326,66.3741522724595,23.0,119.73931726422188,122.58103612063792,1892.0131594810248,486.72566932777363,6.860782215967849,454334.57574635465,586177.8544088447,357896.82670112065,41180.20382130219,1376.9315103840358,0.543804658233094,0
X11.V1.273,-32.54494382022472,37.104781821021504,1376.764833985608,-118.0,39.0,-0.7149113423470379,-0.3660731245295805,49.35522467021289,7.0,889.909109566655,315.915634189358,45.318542209111776,22.637441901864094,2.3015299958306774,440077.56050371274,17736.016085651445,7813.185008108356,2535.3337978743457,478.71065416094893,0.3833138335471338,0
X19.V1.874,-31.685393258426966,151.79880945082553,23042.87855068804,-400.0,419.0,-0.07991539364938496,-0.06981404003479019,155.07044430396533,12.0,1350.069829115454,13772.928673267743,1181.3437017681406,1005.4040090968778,49.71303900908072,6497004.766640991,1386008.327502735,1265829.0256799255,107819.0540804922,2921.239392281227,0.46638594794512933,1
X3.V1.491,4.033707865168539,30.689254217950346,941.830324453983,-88.0,72.0,-0.3453654083071462,0.281202118104642,30.953208615513606,29.0,99.62923505269487,124.89258254591749,314.6666762973652,348.9987127220062,9.028274255808777,52671.22077112661,59984.55952618481,68197.75024187361,17024.632630628857,897.8776222727024,0.6949289690143341,0
